Designator,Mid X,Mid Y,Rotation,Layer
U$13,257.81,-163.83,180.0,top
U$14,206.375,-60.959654,90.0,top
U$15,214.63,-60.96,90.0,top
U$16,361.315,-179.07,180.0,top
U$18,278.13,-206.2881,270.0,top
U$19,328.948519,-168.261791,270.0,top
U$20,85.09,-80.01,0.0,top
U$21,51.435,-80.01,0.0,top
U$22,128.27,-170.18,270.0,top
U$23,101.071899,-170.18,270.0,top
U$24,363.7681,-189.865,0.0,top
U$25,333.838529,-65.909314,90.0,top
U$26,386.715,-67.31,270.0,top
U$27,53.975,-177.8,90.0,top
U$28,181.07231,-51.93982,180.0,top
U$3,356.86125,-142.007146,270.0,top
U$4,294.005,-206.2881,270.0,top
U$5,259.34774,-80.01,180.0,top
U$6,259.34774,-83.82,180.0,top
U$7,368.935,-143.51,0.0,top
U$8,259.08,-72.39,180.0,top
U$9,210.82,-58.056986,90.0,top
U1,304.84836,-190.883223,0.0,top
USB1,210.82,-52.843392,270.0,top
X1,251.966163,-205.363335,270.0,top
X2,243.945181,-58.723188,180.0,top
X3,33.137421,-197.5866,270.0,top
X4,267.098516,-52.711919,0.0,top
X7,396.374149,-107.51653,90.0,top
X8,396.374149,-139.881381,90.0,top
